39.12446,-76.51979
39.12463,-76.52093
39.12467,-76.52109
39.12469,-76.5212
39.12474,-76.52132
39.12476,-76.52138
39.12497,-76.52178
39.12618,-76.52076
39.1263,-76.52064
39.12687,-76.52001
39.12708,-76.51972
39.12938,-76.51628
39.12955,-76.51606
39.12969,-76.5159
39.12984,-76.51576
39.13,-76.51563
39.13057,-76.51524
39.13148,-76.51465
39.13193,-76.51438
39.13194,-76.51438
39.13201,-76.51435
39.13207,-76.51433
39.13219,-76.51432
39.13222,-76.5147
39.13227,-76.51498
39.13243,-76.5156
39.13257,-76.51596
39.13258,-76.516
39.13263,-76.51611
39.13292,-76.51666
39.13311,-76.51693
39.13374,-76.51777
39.13377,-76.51782
39.13624,-76.52105
39.13667,-76.52154
39.13701,-76.5219
39.13956,-76.52442
39.13994,-76.52477
39.14004,-76.52485
39.14013,-76.52493
39.14027,-76.52509
39.14039,-76.52525
39.14043,-76.52531
39.14053,-76.52548
39.14061,-76.52563
39.14072,-76.52589
39.14079,-76.52615
39.14092,-76.52625
39.14097,-76.52627
39.14102,-76.5263
39.14116,-76.52632
39.14186,-76.52605
39.14195,-76.52603
39.14199,-76.52604
39.14204,-76.52604
39.14268,-76.52582
39.14461,-76.52511
39.14493,-76.52501
39.14568,-76.52472
39.14574,-76.52469
39.14701,-76.52425
39.14728,-76.52414
39.14745,-76.52406
39.14782,-76.52387
39.14805,-76.52373
39.14878,-76.52315
39.14904,-76.52292
39.14948,-76.52249
39.15067,-76.52139
39.1507,-76.52137
39.15103,-76.52106
39.15106,-76.52104
39.15124,-76.52086
39.15248,-76.51972
39.1529,-76.51935
39.15646,-76.51674
39.15662,-76.51663
39.15672,-76.51655
39.15723,-76.51618
39.15769,-76.51674
39.1582,-76.51732
39.15883,-76.51808
39.15931,-76.51869
39.15961,-76.51913
39.1599,-76.5196
39.16205,-76.52324
39.16263,-76.52428
39.16285,-76.52463
39.16322,-76.52527
39.16402,-76.52657
39.16471,-76.52752
39.1649,-76.52772
39.16766,-76.53042
39.16794,-76.53074
39.16949,-76.53271
39.1695,-76.53272
39.1698,-76.5331
39.1699,-76.53324
39.16999,-76.53338
